               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.015584,             0.02126,           0.0027343,             0.94957,             0.94687,             0.98446,             0.85866,           0.0067559,            0.013666,          0.00059139,           0.0031195,           0.0031195,           0.0031195
                 141,            0.016862,            0.020906,           0.0036398,              0.9685,             0.92064,              0.9799,             0.84562,            0.006374,             0.01378,          0.00063253,             0.00307,             0.00307,             0.00307
                 142,            0.016363,            0.020383,           0.0033155,             0.94066,             0.90491,             0.96822,             0.83491,           0.0068013,            0.014421,          0.00070837,           0.0030205,           0.0030205,           0.0030205
                 143,            0.015207,            0.019931,           0.0033673,             0.98328,             0.89875,             0.97336,             0.85034,           0.0068171,            0.014118,          0.00063869,            0.002971,            0.002971,            0.002971
                 144,            0.015915,            0.018923,           0.0031834,             0.98099,              0.9306,             0.98098,             0.84717,           0.0065794,            0.013808,          0.00066237,           0.0029215,           0.0029215,           0.0029215
                 145,            0.015665,              0.0213,           0.0026145,             0.97204,             0.90889,              0.9816,             0.85647,            0.006474,            0.013031,          0.00055435,            0.002872,            0.002872,            0.002872
                 146,            0.015391,             0.02056,           0.0040815,             0.95166,             0.94696,             0.98016,             0.85177,           0.0066192,            0.013059,          0.00054133,           0.0028225,           0.0028225,           0.0028225
                 147,            0.015416,            0.021037,           0.0030413,             0.93795,             0.94809,             0.97655,             0.85746,           0.0072905,            0.013525,          0.00055566,            0.002773,            0.002773,            0.002773
                 148,            0.015741,              0.0201,           0.0023759,              0.9614,             0.93092,             0.97846,             0.84155,           0.0070274,            0.014624,          0.00054738,           0.0027235,           0.0027235,           0.0027235
                 149,            0.015555,            0.021313,           0.0025824,             0.96178,             0.90969,             0.97607,             0.85352,           0.0067395,            0.013615,          0.00056196,            0.002674,            0.002674,            0.002674
                 150,            0.014465,             0.01969,           0.0021655,             0.98546,              0.9339,             0.98325,             0.84407,           0.0065602,            0.012601,          0.00054147,           0.0026245,           0.0026245,           0.0026245
                 151,            0.016838,             0.02035,           0.0040142,             0.96373,              0.9069,             0.98074,              0.8669,           0.0058488,            0.012112,          0.00051901,            0.002575,            0.002575,            0.002575
                 152,            0.013607,            0.019689,           0.0023371,             0.95888,             0.97601,             0.98574,             0.85951,           0.0064746,            0.013018,          0.00051142,           0.0025255,           0.0025255,           0.0025255
                 153,            0.014653,             0.01828,           0.0029518,              0.9252,             0.97655,             0.97969,             0.85291,           0.0056896,            0.013142,           0.0005438,            0.002476,            0.002476,            0.002476
